"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "GraphQL", "JSON with Comments", "YAML", "comment", "blank", "total"
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ekj1\coursedata.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 2, 41
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ekj1\videodata.js", "JavaScript", 0, 0, 129, 0, 0, 0, 0, 0, 2, 131
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ekj2\coursedata.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 2, 46
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\ekj2\videodata.js", "JavaScript", 0, 0, 158, 0, 0, 0, 0, 0, 2, 160
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\tests\eiken\testdata.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\videodata.js", "JavaScript", 0, 0, 218, 0, 0, 0, 0, 0, 1, 219
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\videodata\ek2.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 0, 1, 138
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\videodata\ek3.js", "JavaScript", 0, 0, 247, 0, 0, 0, 0, 0, 1, 248
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\data\videodata\ekj2.js", "JavaScript", 0, 0, 141, 0, 0, 0, 0, 0, 1, 142
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\graphql\mutations.js", "JavaScript", 0, 0, 210, 0, 0, 0, 0, 2, 2, 214
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\graphql\queries.js", "JavaScript", 0, 0, 125, 0, 0, 0, 0, 2, 2, 129
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\graphql\schema.json", "JSON", 3615, 0, 0, 0, 0, 0, 0, 0, 0, 3615
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\graphql\subscriptions.js", "JavaScript", 0, 0, 183, 0, 0, 0, 0, 2, 2, 187
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\404.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\_app.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 11, 6, 83
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\_document.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 1, 3, 25
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\index.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 14, 88
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\info\FAQ.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\info\about.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\info\contact.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\info\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\user\admin\gqladmin.js", "JavaScript", 0, 0, 159, 0, 0, 0, 0, 112, 36, 307
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\user\dashboard\index.js", "JavaScript", 0, 0, 117, 0, 0, 0, 0, 15, 21, 153
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\pages\user\dashboard\profile\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\utils\datacollator.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\utils\fetchUser.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 8, 22, 91
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\utils\getUser.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\justi\Desktop\AEL Dev\aelprod\src\utils\parseCourseData.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"Total", "-", 49054, 33, 6901, 9, 21, 3, 15, 280, 585, 56901
